timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740377355657,1734,HTTP Request,200,OK,Users 1-15,text,true,,9832,117,20,20,http://www.httpbin.org/,1734,0,1441
1740377356355,1035,HTTP Request,200,OK,Users 1-6,text,true,,9832,117,20,20,http://www.httpbin.org/,1035,0,743
1740377354651,2739,HTTP Request,200,OK,Users 1-14,text,true,,9832,117,20,20,http://www.httpbin.org/,2739,0,2443
1740377353722,3668,HTTP Request,200,OK,Users 1-7,text,true,,9832,117,20,20,http://www.httpbin.org/,3668,0,3370
1740377354165,3226,HTTP Request,200,OK,Users 1-2,text,true,,9832,117,20,20,http://www.httpbin.org/,3225,0,2931
1740377354351,3040,HTTP Request,200,OK,Users 1-10,text,true,,9832,117,20,20,http://www.httpbin.org/,3040,0,2751
1740377354968,2762,HTTP Request,200,OK,Users 1-19,text,true,,9832,117,20,20,http://www.httpbin.org/,2762,0,2130
1740377355957,2406,HTTP Request,200,OK,Users 1-11,text,true,,9832,117,20,20,http://www.httpbin.org/,1434,0,1145
1740377357730,993,HTTP Request,200,OK,Users 1-1,text,true,,9832,117,20,20,http://www.httpbin.org/,993,0,251
1740377358396,636,HTTP Request,200,OK,Users 1-12,text,true,,9832,117,20,20,http://www.httpbin.org/,636,0,327
1740377355526,3763,HTTP Request,200,OK,Users 1-4,text,true,,9832,117,20,20,http://www.httpbin.org/,3506,0,1585
1740377356630,2664,HTTP Request,200,OK,Users 1-3,text,true,,9832,117,20,20,http://www.httpbin.org/,2402,0,484
1740377359174,252,HTTP Request,200,OK,Users 1-11,text,true,,9832,117,20,20,http://www.httpbin.org/,252,0,0
1740377359489,495,HTTP Request,200,OK,Users 1-5,text,true,,9832,117,20,20,http://www.httpbin.org/,495,0,256
1740377359902,245,HTTP Request,200,OK,Users 1-6,text,true,,9832,117,20,20,http://www.httpbin.org/,245,0,0
1740377359955,243,HTTP Request,200,OK,Users 1-15,text,true,,9832,117,20,20,http://www.httpbin.org/,243,0,0
